action_id,canonical_facility_id,parameter_id,parameter,current_value,evidence_status,action,priority,recipient_department,suggested_recipient_role,required_evidence,suggested_question,request_status,last_request_date,follow_up_date,ranking_impact,source_file,audit_date
PALACE-105719-A001,CMS-105719,nursing_24_7,24/7 nursing,YES,PARTIALLY_VERIFIED,REQUEST_STRONGER_VERIFICATION,CRITICAL,Nursing,Director of Nursing,Provide current 24/7 licensed-nurse coverage documentation and distinguish employed versus contracted coverage.,"Is a licensed nurse physically present in the nursing facility 24 hours a day, seven days a week, and is that coverage employed or contracted?",NOT_DRAFTED,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A002,CMS-105719,direct_24hr_nurse_availability,Direct 24hr nurse availability,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Direct 24hr nurse availability, including scope, responsible staff, and any limitations.","Can you confirm whether Direct 24hr nurse availability is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A003,CMS-105719,third_party_24hr_nurse_availability,Third Party 24hr nurse availability,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Third Party 24hr nurse availability, including scope, responsible staff, and any limitations.","Can you confirm whether Third Party 24hr nurse availability is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A004,CMS-105719,adl_support,ADL support,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Nursing,Director of Nursing,Provide ADL-assistance policy and staffing coverage.,"What hands-on assistance is available for bathing, dressing, toileting, eating, and mobility?",READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A005,CMS-105719,medication_support,Medication support,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Nursing,Director of Nursing,Provide medication-management policy and licensed-staff responsibility matrix.,"Can licensed staff administer and manage medications for skilled-nursing residents, including reconciliation and monitoring?",READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A006,CMS-105719,transfer_assistance,Transfer assistance,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Nursing,Director of Nursing,"Provide transfer-assistance policy, equipment list, and staffing protocol.","What transfer assistance is available, including one-person, two-person, mechanical-lift, and gait-belt support?",READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A007,CMS-105719,higher_acuity_capabilities,Higher-acuity capabilities,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,HIGH,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Higher-acuity capabilities, including scope, responsible staff, and any limitations.","Can you confirm whether Higher-acuity capabilities is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A008,CMS-105719,ot,Occupational therapy,YES,CLAIMED_BY_FACILITY,REQUEST_STRONGER_VERIFICATION,HIGH,Rehabilitation,Rehabilitation Director,"Provide a current OT service description, staffing schedule, and therapist credentials.","Is occupational therapy currently provided on-site, and on which days and at what typical frequency?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A009,CMS-105719,speech_therapy,Speech therapy,YES,CLAIMED_BY_FACILITY,REQUEST_STRONGER_VERIFICATION,HIGH,Rehabilitation,Rehabilitation Director,"Provide a current speech-language pathology service description, schedule, and credentials.","Is speech therapy currently provided on-site, including swallowing and post-stroke needs, and at what frequency?",READY_TO_REVIEW,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A010,CMS-105719,post_stroke_neuro_evidence,Post-stroke/neurological evidence,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Rehabilitation,Rehabilitation Director,"Provide program documentation, protocols, staffing, admission criteria, and outcome measures for stroke and neurological rehabilitation.",Do you operate a dedicated or structured post-stroke rehabilitation program and a neurological rehabilitation program? Please describe each separately.,READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile.",reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A011,CMS-105719,memory_care,Memory Care,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Memory Care, including scope, responsible staff, and any limitations.","Can you confirm whether Memory Care is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A012,CMS-105719,dementia_alz_programs,Dementia/Alzheimer programs,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Dementia/Alzheimer programs, including scope, responsible staff, and any limitations.","Can you confirm whether Dementia/Alzheimer programs is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A013,CMS-105719,wound_care,Wound care,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Wound care, including scope, responsible staff, and any limitations.","Can you confirm whether Wound care is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
PALACE-105719-A014,CMS-105719,dialysis_arrangements,Dialysis arrangements,UNKNOWN,UNKNOWN,REQUEST_PRIMARY_EVIDENCE,MEDIUM,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Dialysis arrangements, including scope, responsible staff, and any limitations.","Can you confirm whether Dialysis arrangements is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,Could improve evidence coverage or a governed ranking dimension when patient-relevant.,reports/OPTIME_GOLDEN_FACILITY_EVIDENCE_LEDGER.csv,2026-08-02
