parameter_id,parameter,value,evidence_status,confidence,source_category,source_name,source_url_or_local_file,dataset_name,dataset_field,record_identifier,retrieval_date,publication_date,evidence_quote,normalized_value,normalization_rule,scope,recency,contradictory_sources,used_by_decision_engine,used_in_eligibility,used_in_ranking,displayed_in_ui,ACTION,Priority,Recipient department,Suggested recipient role,Required evidence,Suggested question,Request status,Last request date,Follow-up date,Ranking impact
skilled_nursing_capabilities,Skilled nursing capabilities,YES,VERIFIED,HIGH,Federal government sources,CMS Provider Information.Provider Type,https://data.cms.gov/provider-data/dataset/4pq5-n9py,CMS Provider Information.Provider Type,Provider Type,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Skilled nursing capabilities,YES,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,YES,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
nursing_24_7,24/7 nursing,YES,PARTIALLY_VERIFIED,MEDIUM,Federal government sources,CMS Provider Information.Provider Type,https://data.cms.gov/provider-data/dataset/4pq5-n9py,CMS Provider Information.Provider Type,Provider Type,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,CMS nursing home provider row indicates nursing coverage capability; direct nurse modality remains separately unverified.,YES,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,YES,YES,YES,REQUEST_STRONGER_VERIFICATION,CRITICAL,Nursing,Director of Nursing,Provide current 24/7 licensed-nurse coverage documentation and distinguish employed versus contracted coverage.,"Is a licensed nurse physically present in the nursing facility 24 hours a day, seven days a week, and is that coverage employed or contracted?",NOT_DRAFTED,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile."
direct_24hr_nurse_availability,Direct 24hr nurse availability,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Direct 24hr nurse availability, including scope, responsible staff, and any limitations.","Can you confirm whether Direct 24hr nurse availability is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
third_party_24hr_nurse_availability,Third Party 24hr nurse availability,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Third Party 24hr nurse availability, including scope, responsible staff, and any limitations.","Can you confirm whether Third Party 24hr nurse availability is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
rn_hours_per_resident_day,RN hours per resident day,1.21824,VERIFIED,HIGH,Federal government sources,CMS Provider Information.Reported RN Staffing Hours per Resident per Day,https://data.cms.gov/provider-data/dataset/4pq5-n9py,CMS Provider Information.Reported RN Staffing Hours per Resident per Day,Reported RN Staffing Hours per Resident per Day,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,RN hours per resident day,1.21824,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
total_nurse_hours_per_resident_day,Total nurse hours per resident day,4.14174,VERIFIED,HIGH,Federal government sources,CMS Provider Information.Reported Total Nurse Staffing Hours per Resident per Day,https://data.cms.gov/provider-data/dataset/4pq5-n9py,CMS Provider Information.Reported Total Nurse Staffing Hours per Resident per Day,Reported Total Nurse Staffing Hours per Resident per Day,105719,2026-07-21T12:24:55.934Z,2026-07-21T12:24:55.934Z,Total nurse hours per resident day,4.14174,BEST_EVIDENCE_SELECTION,FACILITY,FRESH,NONE_DETECTED,YES,NO,YES,YES,NO_ACTION_CURRENT_EVIDENCE,,,,,,NOT_REQUIRED,,,Current evidence is already available; refresh at source-specific cadence.
adl_support,ADL support,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,SERVICE,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Nursing,Director of Nursing,Provide ADL-assistance policy and staffing coverage.,"What hands-on assistance is available for bathing, dressing, toileting, eating, and mobility?",READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile."
medication_support,Medication support,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,SERVICE,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Nursing,Director of Nursing,Provide medication-management policy and licensed-staff responsibility matrix.,"Can licensed staff administer and manage medications for skilled-nursing residents, including reconciliation and monitoring?",READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile."
transfer_assistance,Transfer assistance,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,YES,YES,YES,REQUEST_PRIMARY_EVIDENCE,CRITICAL,Nursing,Director of Nursing,"Provide transfer-assistance policy, equipment list, and staffing protocol.","What transfer assistance is available, including one-person, two-person, mechanical-lift, and gait-belt support?",READY_TO_REVIEW,,,"Could change eligibility, patient match, evidence certainty, and rank for the stroke rehabilitation profile."
higher_acuity_capabilities,Higher-acuity capabilities,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,Not verified,database/florida_facility_parameter_evidence.json,UNKNOWN,UNKNOWN,CMS-105719,,,No evidence row available for this parameter.,UNKNOWN,NO_EVIDENCE_RETURNS_UNKNOWN,FACILITY,UNKNOWN,NONE_DETECTED,YES,NO,YES,YES,REQUEST_PRIMARY_EVIDENCE,HIGH,Nursing,Director of Nursing,"Provide current dated documentation that directly verifies Higher-acuity capabilities, including scope, responsible staff, and any limitations.","Can you confirm whether Higher-acuity capabilities is currently available for residents at CCN 105719, and provide supporting documentation?",NOT_DRAFTED,,,"Could materially change patient match, practical fit, confidence, or rank when relevant to the patient."
